Video Title,Comment,English_Translation,Processed_Comment,Tokenized_POS,Polarity,Aspect_Sentiment
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,This is not healthy at all.,This is not healthy at all.,healthy,"[('healthy', 'ADJ')]",0.4019,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Tanmay's bit was just sad !,Tanmay's bit was just sad!,tanmay bit sad,"[('tanmay', 'PROPN'), ('bit', 'NOUN'), ('sad', 'ADJ')]",-0.4767,"{'Aspect': ['tanmay'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Am I the only one who things that everyone is trying hard but it's still unfunny,AM I the only one who things that everyone is trying hard but it's still unfunny,one thing everyone trying hard still unfunny,"[('one', 'NUM'), ('thing', 'NOUN'), ('everyone', 'PRON'), ('trying', 'VERB'), ('hard', 'ADV'), ('still', 'ADV'), ('unfunny', 'ADJ')]",-0.1027,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"I am not yet reached that level to say this as comedy 😅 
Hasne aaya tha ye to guilt ho gaya kya dekh liya 😂","I am not annached that level to say this as comedy 😅
Hasne Aaya Tha Ye To Guilt Ho Gaya Kya Dekh Liya",annached level say comedy hasne aaya tha ye guilt ho gaya kya dekh liya,"[('annached', 'ADJ'), ('level', 'NOUN'), ('say', 'VERB'), ('comedy', 'NOUN'), ('hasne', 'NOUN'), ('aaya', 'NOUN'), ('tha', 'NOUN'), ('ye', 'PROPN'), ('guilt', 'PROPN'), ('ho', 'PROPN'), ('gaya', 'PROPN'), ('kya', 'PROPN'), ('dekh', 'PROPN'), ('liya', 'PROPN')]",0.1027,"{'Aspect': ['comedy'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Which episode is this?,Which episode is this?,episode,"[('episode', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Body Shaming is joke. And they call out Kapil shows for this.,Body shaming is joke.And they call out kapil shows for this.,body shaming joke call kapil show,"[('body', 'NOUN'), ('shaming', 'VERB'), ('joke', 'PROPN'), ('call', 'PROPN'), ('kapil', 'PROPN'), ('show', 'PROPN')]",0.296,"{'Aspect': ['kapil'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,At 1:51 what's her name?,At 1:51 What's Her Name?,name,"[('name', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,When is the CPL new season coming,When is the cpl new season coming,cpl new season coming,"[('cpl', 'ADJ'), ('new', 'ADJ'), ('season', 'NOUN'), ('coming', 'VERB')]",0,"{'Aspect': ['season'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan Joshi is too witty!!!,Rohan Joshi is Too Witty !!!,rohan joshi witty,"[('rohan', 'PROPN'), ('joshi', 'PROPN'), ('witty', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Wait rohan dated shaheen bhatt,Wait rohan dated shaheen bhatt,wait rohan dated shaheen bhatt,"[('wait', 'VERB'), ('rohan', 'PROPN'), ('dated', 'VERB'), ('shaheen', 'PROPN'), ('bhatt', 'PROPN')]",0,"{'Aspect': ['shaheen'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Lunmay op in chat,Lunmay op in chat,lunmay op chat,"[('lunmay', 'PROPN'), ('op', 'PROPN'), ('chat', 'VERB')]",0,"{'Aspect': ['chat'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,bhyiii ye kya beztiiii kri h inhone 😂😂😂😂,bhyiii ye kya beztiiii kri h inhone,bhyiii ye kya beztiiii kri h inhone,"[('bhyiii', 'PROPN'), ('ye', 'PROPN'), ('kya', 'PROPN'), ('beztiiii', 'PROPN'), ('kri', 'PROPN'), ('h', 'PROPN'), ('inhone', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"Once Kullu had said , 
""Smooth Rohan Bhai Smooth.........
😂😂😂😂😂😂😂😂😂😂🎉",,,[],0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,😂😂😂😂,,,[],0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Bruh Rohan Joshi brutally 😂 next episode of meme review mein pakka usko nahi lenge Tanmay Bhat,Bruh rohan joshi brutally soon Episode of Meme Review Mein Pakka Usko Nahi Lenge Tanmay Bhat,bruh rohan joshi brutally soon episode meme review mein pakka usko nahi lenge tanmay bhat,"[('bruh', 'NOUN'), ('rohan', 'PROPN'), ('joshi', 'PROPN'), ('brutally', 'ADV'), ('soon', 'ADV'), ('episode', 'PROPN'), ('meme', 'PROPN'), ('review', 'PROPN'), ('mein', 'PROPN'), ('pakka', 'VERB'), ('usko', 'PROPN'), ('nahi', 'PROPN'), ('lenge', 'NOUN'), ('tanmay', 'VERB'), ('bhat', 'PRON')]",-0.6124,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,It is spring again. The earth is like a child that knows poems by heart.😂❤,It is spring again.The Earth is like a child that knows poems by heart.ork,spring earth like child know poem heart ork,"[('spring', 'NOUN'), ('earth', 'NOUN'), ('like', 'ADP'), ('child', 'NOUN'), ('know', 'VERB'), ('poem', 'PROPN'), ('heart', 'PROPN'), ('ork', 'NOUN')]",0.7717,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rude,Rude,rude,"[('rude', 'NOUN')]",-0.4588,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,I never get this roasting thing...mujhe ek baar v hasi nhi ayi..bigboss jaisa tha bas tameez se gali de rahe the,Sri Never Get This Rosting Thing ... I was not like it once ... was just abusing with tamiz,sri never get rosting thing like abusing tamiz,"[('sri', 'PROPN'), ('never', 'ADV'), ('get', 'VERB'), ('rosting', 'VERB'), ('thing', 'NOUN'), ('like', 'ADP'), ('abusing', 'VERB'), ('tamiz', 'PROPN')]",-0.128,"{'Aspect': ['tamiz'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Ooooooooooooooooooooooooooooooooooooo Too Mean Rohan Bhai Too Mean 🤣,Oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooy,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooy,"[('oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooy', 'VERB')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan at roasting unmatchable!!,Rohan at roasting unmatchable !!,rohan roasting unmatchable,"[('rohan', 'PROPN'), ('roasting', 'VERB'), ('unmatchable', 'ADJ')]",0,"{'Aspect': ['rohan'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Bro it was mean..it was good 🔥,Bro it was mean..it was good 🔥,bro mean good,"[('bro', 'VERB'), ('mean', 'VERB'), ('good', 'ADJ')]",0.4404,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,how is this guy 41 yrs old damn,How is this guy 41 years old damn,guy year old damn,"[('guy', 'NOUN'), ('year', 'NOUN'), ('old', 'ADJ'), ('damn', 'ADV')]",-0.4019,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Billiyon ka Shashi Tharoor 🤣🤣🤣🤣🤣🤣,Billiyon ka shashi tharoor 🤣🤣🤣🤣🤣🤣,billiyon ka shashi tharoor,"[('billiyon', 'PROPN'), ('ka', 'PROPN'), ('shashi', 'PROPN'), ('tharoor', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,0:27 that part ahahhahaaa😂,0:27 That part ahahahaaaa da,part ahahahaaaa da,"[('part', 'NOUN'), ('ahahahaaaa', 'PROPN'), ('da', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,rahul dua ke sath ladki kon si hai,What is the girl with Rahul Dua,girl rahul dua,"[('girl', 'NOUN'), ('rahul', 'PROPN'), ('dua', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan's jokes were underappreciated,Rohan's Jokes Were underappreciated,rohan joke underappreciated,"[('rohan', 'PROPN'), ('joke', 'PROPN'), ('underappreciated', 'ADJ')]",0.296,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Neither of them were that funny. Reaction videos are better,Neither of them was that funny.Reaction Videos are better,neither funny reaction video better,"[('neither', 'CCONJ'), ('funny', 'ADJ'), ('reaction', 'NOUN'), ('video', 'NOUN'), ('better', 'ADV')]",0.1265,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,The uncanny counter kdrama Hindi dubbed please,The Uncanny Counter Kdrama Hindi Dubbed Please,uncanny counter kdrama hindi dubbed please,"[('uncanny', 'ADJ'), ('counter', 'NOUN'), ('kdrama', 'PROPN'), ('hindi', 'PROPN'), ('dubbed', 'VERB'), ('please', 'INTJ')]",0.3182,"{'Aspect': ['hindi'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,My Demon kdrama Hindi dubbed please,My demon kdrama hindi dubbed please,demon kdrama hindi dubbed please,"[('demon', 'PROPN'), ('kdrama', 'PROPN'), ('hindi', 'PROPN'), ('dubbed', 'VERB'), ('please', 'INTJ')]",0.3182,"{'Aspect': ['hindi'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"This was too good, when is the next season coming, Netflix India?","This was too good, when is the next season coming, Netflix India?",good next season coming netflix india,"[('good', 'ADJ'), ('next', 'ADJ'), ('season', 'NOUN'), ('coming', 'VERB'), ('netflix', 'PROPN'), ('india', 'PROPN')]",0.4404,"{'Aspect': ['netflix'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,This show needs to be promoted more!,This show needs to be promoted more!,show need promoted,"[('show', 'VERB'), ('need', 'NOUN'), ('promoted', 'VERB')]",0.4215,"{'Aspect': ['show'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Tanmay and Sumukhi are made for each other ❤,Tanmay and Sumukhi are made for each other ❤,tanmay sumukhi made,"[('tanmay', 'PROPN'), ('sumukhi', 'PROPN'), ('made', 'VERB')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,OMG I so wanna buy Netflix right now but don't have money in account,OMG I So Wanna Buy Netflix Right Now But Don't Have Money in Account,omg wan na buy netflix right money account,"[('omg', 'NOUN'), ('wan', 'VERB'), ('na', 'PART'), ('buy', 'VERB'), ('netflix', 'PROPN'), ('right', 'ADJ'), ('money', 'NOUN'), ('account', 'NOUN')]",0,"{'Aspect': ['netflix'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,1:17 uhhh bruh is bruuuutal,1:17 uhh bruh is bruuuuutal,uhh bruh bruuuuutal,"[('uhh', 'PROPN'), ('bruh', 'NOUN'), ('bruuuuutal', 'ADJ')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,The way they both looked at each other🤣,The way they bot looked at my,way bot looked,"[('way', 'PROPN'), ('bot', 'PROPN'), ('looked', 'VERB')]",0,"{'Aspect': ['bot'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,BRUTAL,Brutal,brutal,"[('brutal', 'NOUN')]",-0.6249,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,0:52 woh sab toh thik hai aise biceps kaise banege,0:52 All of that is fine how to become such biceps,fine become biceps,"[('fine', 'INTJ'), ('become', 'VERB'), ('biceps', 'NOUN')]",0.2023,"{'Aspect': ['biceps'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Not funny rojo,Not Funny Rojo,funny rojo,"[('funny', 'ADJ'), ('rojo', 'NOUN')]",0.4404,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,arbaz naam ke ladke ko date kari hoti 🤣,Arbaz Naam Ke Ladke Ko Date Kari Hoti 🤣,arbaz naam ke ladke ko date kari hoti,"[('arbaz', 'PROPN'), ('naam', 'PROPN'), ('ke', 'PROPN'), ('ladke', 'PROPN'), ('ko', 'PROPN'), ('date', 'PROPN'), ('kari', 'PROPN'), ('hoti', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Chuwa to Sahi 😂😂😂😂😂😂,Chuwa to sahi,chuwa sahi,"[('chuwa', 'PROPN'), ('sahi', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,sumaira Sheikh has no talent other than abusing... even hindustani bhau makes sense before her...,Sumaira Sheikh Has No Talent is the abusing ...,sumaira sheikh talent abusing,"[('sumaira', 'PROPN'), ('sheikh', 'PROPN'), ('talent', 'NOUN'), ('abusing', 'VERB')]",-0.0516,"{'Aspect': ['sumaira'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,We want  Zakir Khan and Mummay in the show,We want zakir khan and mummay in the show,want zakir khan mummay show,"[('want', 'VERB'), ('zakir', 'PROPN'), ('khan', 'PROPN'), ('mummay', 'PROPN'), ('show', 'VERB')]",0.0772,"{'Aspect': ['zakir'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Just a few more clips & entire CPL is on YouTube,Just a less more clips & enter cpl is on youtube,le clip enter cpl youtube,"[('le', 'INTJ'), ('clip', 'PROPN'), ('enter', 'VERB'), ('cpl', 'NOUN'), ('youtube', 'NOUN')]",0,"{'Aspect': ['youtube'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Sumukhi be like :- mujha kiu Tod Raha ho!? 🙂,,,[],0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,*no one can replace tanmay💯🔥*,*No one can replace tanmay💯🔥*,one replace tanmay,"[('one', 'NUM'), ('replace', 'VERB'), ('tanmay', 'PROPN')]",0,"{'Aspect': ['tanmay'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Zara bhi hnsi ni.... Ye sale kachra bnn gye,Just a little laugh .... This cell was garbage,little laugh cell garbage,"[('little', 'ADJ'), ('laugh', 'NOUN'), ('cell', 'NOUN'), ('garbage', 'NOUN')]",0.5118,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Netflix getting cancelled 😅,Netflix getting canceled 😅,netflix getting canceled,"[('netflix', 'PROPN'), ('getting', 'AUX'), ('canceled', 'VERB')]",0,"{'Aspect': ['netflix'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,nat enaf  camedi,Nat Enaf Camedi,nat enaf camedi,"[('nat', 'PROPN'), ('enaf', 'PROPN'), ('camedi', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"Bechari Sumaira 😂😂😂
Roasted n eaten alive 😅","Bechari Sumaira
Roasted n eten alive 😅",bechari sumaira roasted n eten alive,"[('bechari', 'PROPN'), ('sumaira', 'PROPN'), ('roasted', 'VERB'), ('n', 'CCONJ'), ('eten', 'ADJ'), ('alive', 'ADJ')]",0.3818,"{'Aspect': ['bechari'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Tanmay OP in chat 🔥😂,Tanmay op in chat,tanmay op chat,"[('tanmay', 'VERB'), ('op', 'NOUN'), ('chat', 'VERB')]",0,"{'Aspect': ['chat'], 'Sentiment': ['Neutral']}"
