Video Title,Comment,Processed_Comment,English_Translation,Tokenized_POS,NOUNS,Aspect_with_Sentiment,Compound_Terms
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,anyone notice Tanmay's voice getting deep in recent videos ?,anyone notice tanmays voice getting deep recent video,Anyone Notice Tanmays Voice Getting Deep Recent Video,"[('Anyone', 'PRON'), ('Notice', 'PROPN'), ('Tanmays', 'PROPN'), ('Voice', 'PROPN'), ('Getting', 'VERB'), ('Deep', 'PROPN'), ('Recent', 'PROPN'), ('Video', 'NOUN')]","['anyone', 'video']",{'Video': 'Neutral'},"['Notice', 'Voice', 'Deep', 'Recent']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,One doller lawyer @140p,one doller lawyer p,One Dollar Lawyer P,"[('One', 'NUM'), ('Dollar', 'PROPN'), ('Lawyer', 'PROPN'), ('P', 'NOUN')]",['p'],{'P': 'Neutral'},"['Dollar', 'Lawyer']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,What happened to Nishant bhai?,happened nishant bhai,Happanede Nishant Bhai,"[('Happanede', 'PROPN'), ('Nishant', 'PROPN'), ('Bhai', 'PROPN')]",[],{},"['Happanede', 'Nishant']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"13:43, Spoiler Alert: Series end mai sachi Australia jeet gayi! :(",spoiler alert series end mai sachi australia jeet gayi,Spiiler Alert Series and May Sachi Australia wins,"[('Spiiler', 'PROPN'), ('Alert', 'PROPN'), ('Series', 'PROPN'), ('and', 'CCONJ'), ('May', 'PROPN'), ('Sachi', 'PROPN'), ('Australia', 'PROPN'), ('wins', 'VERB')]",[],{},"['Spiiler', 'Alert', 'May', 'Sachi']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Nishant tanwar ko lekar aao iss og gang mein...,nishant tanwar ko lekar aao i og gang mein,Bring Nishant Tanwar to the gang gang,"[('Bring', 'VERB'), ('Nishant', 'PROPN'), ('Tanwar', 'PROPN'), ('to', 'ADP'), ('the', 'DET'), ('gang', 'NOUN'), ('gang', 'NOUN')]","['gang', 'gang']",{'gang': 'Neutral'},['Nishant']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Judge court bhejta hai taki mahilaon ko dand mile na ki .... was hilarious 😂,judge court bhejta hai taki mahilaon ko dand mile na ki hilarious,The judge sends the court so that women are punished and not Hillaryus,"[('The', 'DET'), ('judge', 'NOUN'), ('sends', 'VERB'), ('the', 'DET'), ('court', 'NOUN'), ('so', 'SCONJ'), ('that', 'SCONJ'), ('women', 'NOUN'), ('are', 'AUX'), ('punished', 'VERB'), ('and', 'CCONJ'), ('not', 'PART'), ('Hillaryus', 'PROPN')]","['judge', 'court']","{'judge': 'Neutral', 'court': 'Neutral', 'women': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Was expecting bassi,expecting basso,Expecting Basso,"[('Expecting', 'VERB'), ('Basso', 'NOUN')]",[],{'Basso': 'Neutral'},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Egregious bit is refrence to Seinfeld's Jackie chiles,egregious bit refrence seinfelds jackie chile,egregious bit reference Senfeld Jackie Chiles,"[('egregious', 'ADJ'), ('bit', 'NOUN'), ('reference', 'NOUN'), ('Senfeld', 'PROPN'), ('Jackie', 'PROPN'), ('Chiles', 'PROPN')]",['reference'],"{'bit': 'Neutral', 'reference': 'Neutral'}","['Senfeld', 'Jackie']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,FYI.. Yashpal Sharma played sad Sardar in Singh is King!,fyi yashpal sharma played sad sardar singh king,Fyi Yashpal Sharma Played Sad Sardar Singh King,"[('Fyi', 'PROPN'), ('Yashpal', 'PROPN'), ('Sharma', 'PROPN'), ('Played', 'PROPN'), ('Sad', 'PROPN'), ('Sardar', 'PROPN'), ('Singh', 'PROPN'), ('King', 'PROPN')]",[],{},"['Fyi', 'Yashpal', 'Played', 'Sad', 'Sardar', 'Singh']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,First Episode Completed 👍,first episode completed,First episode complete,"[('First', 'ADJ'), ('episode', 'NOUN'), ('complete', 'ADJ')]",['episode'],{'episode': 'Neutral'},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,tanmay never looked so bored,tanmay never looked bored,Tanmay Never Looked Bored,"[('Tanmay', 'PROPN'), ('Never', 'ADV'), ('Looked', 'VERB'), ('Bored', 'PROPN')]",[],{},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Last me Kacha Badam song kaha hai ?,last kacha badam song kaha hai,Where is the last raw almond song,"[('Where', 'SCONJ'), ('is', 'AUX'), ('the', 'DET'), ('last', 'ADJ'), ('raw', 'ADJ'), ('almond', 'NOUN'), ('song', 'NOUN')]","['almond', 'song']","{'almond': 'Neutral', 'song': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Tanmay second home is Netflix📺❤😂,tanmay second home netflix,Tanmay Second Home Netflix,"[('Tanmay', 'PROPN'), ('Second', 'PROPN'), ('Home', 'PROPN'), ('Netflix', 'PROPN')]",[],{},"['Tanmay', 'Second', 'Home']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Vlog 100 nai aaya hai,vlog nai aaya hai,Vlog has come,"[('Vlog', 'PROPN'), ('has', 'AUX'), ('come', 'VERB')]",[],{},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,And.....isme bhi Australia ( Mahender Phorey ) jit jata hai 😮‍💨🥲,andisme bhi australia mahender phorey jit jata hai,Undesisme also comes as Australia Mahender Forey,"[('Undesisme', 'PROPN'), ('also', 'ADV'), ('comes', 'VERB'), ('as', 'ADP'), ('Australia', 'PROPN'), ('Mahender', 'PROPN'), ('Forey', 'PROPN')]",[],{},"['Australia', 'Mahender']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Bassi ko cast krne ka budget nhi tha,basso ko cast krne ka budget nhi tha,There was no budget to cast buses,"[('There', 'PRON'), ('was', 'VERB'), ('no', 'DET'), ('budget', 'NOUN'), ('to', 'ADP'), ('cast', 'ADJ'), ('buses', 'NOUN')]",['budget'],"{'budget': 'Neutral', 'buses': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Nidhi Razdan wale pe koi react nahi kiya!,nidhi razdan wale pe koi react nahi kiya,Nidhi Razdan did not react to Nidhi Razdan,"[('Nidhi', 'PROPN'), ('Razdan', 'PROPN'), ('did', 'AUX'), ('not', 'PART'), ('react', 'VERB'), ('to', 'ADP'), ('Nidhi', 'PROPN'), ('Razdan', 'PROPN')]",[],{},"['Nidhi', 'Nidhi']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"And like reality, AUSTRALIA won against INDIA in the web series😂😂😂13:44",like reality australia india web series,Like Reality Australia India Web Series,"[('Like', 'ADP'), ('Reality', 'NOUN'), ('Australia', 'PROPN'), ('India', 'PROPN'), ('Web', 'PROPN'), ('Series', 'PROPN')]",['reality'],{'Reality': 'Neutral'},"['India', 'Web']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Its a great homage to law in India with comedy being the core of it. How you can make fun of everything/anything in office is relatable. Mazza aa gaya,great homage law india comedy core make fun everythinganything office relatable mazza aa gaya,Great Homage Law India Comedy Core Make FUN EVERYTHING OFFICE RELATABLE MAZA AA GAYA,"[('Great', 'PROPN'), ('Homage', 'PROPN'), ('Law', 'PROPN'), ('India', 'PROPN'), ('Comedy', 'PROPN'), ('Core', 'PROPN'), ('Make', 'VERB'), ('FUN', 'PROPN'), ('EVERYTHING', 'PRON'), ('OFFICE', 'NOUN'), ('RELATABLE', 'ADJ'), ('MAZA', 'NOUN'), ('AA', 'PROPN'), ('GAYA', 'PROPN')]","['everything', 'office', 'maza']","{'OFFICE': 'Neutral', 'MAZA': 'Neutral'}","['Great', 'Homage', 'Law', 'India', 'Comedy', 'EVERYTHING', 'RELATABLE', 'AA']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Nidhi bisht (didi) was bang on in this series 💥,nidhi bisht didi bang series,Nidhi Bisht Didi Bang Series,"[('Nidhi', 'PROPN'), ('Bisht', 'PROPN'), ('Didi', 'PROPN'), ('Bang', 'PROPN'), ('Series', 'PROPN')]",[],{},"['Nidhi', 'Bisht', 'Didi', 'Bang']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Bassi ko bulana chahiye, legends will know why...",basso ko bulana chahiye legend know,Buses should be called Legend Knov,"[('Buses', 'NOUN'), ('should', 'AUX'), ('be', 'AUX'), ('called', 'VERB'), ('Legend', 'PROPN'), ('Knov', 'PROPN')]",[],{'Buses': 'Neutral'},['Legend']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,9:32 Ravi Kishan Sigma male 🗿🗿,ravi kishan sigma male,Ravi Kishan Sigma Male,"[('Ravi', 'NOUN'), ('Kishan', 'PROPN'), ('Sigma', 'PROPN'), ('Male', 'PROPN')]",['ravi'],{'Ravi': 'Neutral'},"['Kishan', 'Sigma']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Yooo subscribing netflix right now ❤,yooo subscribing netflix right,Yooo subscribing netflix right,"[('Yooo', 'NOUN'), ('subscribing', 'VERB'), ('netflix', 'PROPN'), ('right', 'NOUN')]","['yooo', 'right']","{'Yooo': 'Neutral', 'right': 'Positive'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,8:24 yaha aisa laga maano rohan joshi bol utha ho.,yaha aisa laga maano rohan joshi bol utha ho,It felt as if Rohan Joshi had spoken,"[('It', 'PRON'), ('felt', 'VERB'), ('as', 'SCONJ'), ('if', 'SCONJ'), ('Rohan', 'PROPN'), ('Joshi', 'PROPN'), ('had', 'AUX'), ('spoken', 'VERB')]",[],{},['Rohan']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Biswas is the best person in this series
He know his limit",biswas best person series know limit,Biswas Best Person Series Know Limit,"[('Biswas', 'PROPN'), ('Best', 'PROPN'), ('Person', 'PROPN'), ('Series', 'PROPN'), ('Know', 'PROPN'), ('Limit', 'PROPN')]",[],{},"['Biswas', 'Best', 'Person', 'Series', 'Know']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,fukrey mein hai,fukrey mein hai,Is in fukre,"[('Is', 'AUX'), ('in', 'ADP'), ('fukre', 'ADJ')]",[],{},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,The fact that I started Maamla legal hai and Suits this weak only is so funny,fact started maamla legal hai suit weak funny,Fact Started Maamla Legal Hai Suit Weak Funny,"[('Fact', 'NOUN'), ('Started', 'VERB'), ('Maamla', 'PROPN'), ('Legal', 'PROPN'), ('Hai', 'PROPN'), ('Suit', 'PROPN'), ('Weak', 'PROPN'), ('Funny', 'PROPN')]",['fact'],{'Fact': 'Neutral'},"['Maamla', 'Legal', 'Hai', 'Suit', 'Weak']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Tanmay saying she is too good, bhatt khandan ko unki bahu mil gayi finally 😂😅",tanmay saying good bhatt khandan ko unki bahu mil gayi finally,Tanmay Sying Good Bhatt Kandan got his daughter -in -law Finli,"[('Tanmay', 'PROPN'), ('Sying', 'PROPN'), ('Good', 'PROPN'), ('Bhatt', 'PROPN'), ('Kandan', 'PROPN'), ('got', 'VERB'), ('his', 'PRON'), ('daughter', 'NOUN'), ('-in', 'PROPN'), ('-law', 'PROPN'), ('Finli', 'PROPN')]",['daughter'],{'daughter': 'Neutral'},"['Tanmay', 'Sying', 'Good', '-in']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,8:03 8:05 Anganwadi ki hindi is so hilarious 😆😅😂😂🤣🤣🤣🤣🤣,anganwadi ki hindi hilarious,Anganwadi ki hindi hilarious,"[('Anganwadi', 'PROPN'), ('ki', 'PROPN'), ('hindi', 'VERB'), ('hilarious', 'ADJ')]",[],{},['Anganwadi']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"There is serious loophole. How can someone who did law from Harvard can do law in India. I mean there whole different constituion, IPC and other provisions.",serious loophole someone law harvard law india mean whole different constituion ipc provision,Serious Loophole Someone Law Harvard Law India means Whole Different Constituion IPC Provision,"[('Serious', 'PROPN'), ('Loophole', 'PROPN'), ('Someone', 'PROPN'), ('Law', 'PROPN'), ('Harvard', 'PROPN'), ('Law', 'PROPN'), ('India', 'PROPN'), ('means', 'VERB'), ('Whole', 'PROPN'), ('Different', 'PROPN'), ('Constituion', 'NOUN'), ('IPC', 'PROPN'), ('Provision', 'PROPN')]",['constituion'],{'Constituion': 'Neutral'},"['Serious', 'Loophole', 'Someone', 'Law', 'Harvard', 'Law', 'IPC']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"No Kannada Category. No netflix for me, bitch.",kannada category netflix bitch,Kannada Category Netflix Bitch,"[('Kannada', 'PROPN'), ('Category', 'PROPN'), ('Netflix', 'PROPN'), ('Bitch', 'PROPN')]",[],{},"['Kannada', 'Category', 'Netflix']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Should have brought bassi for this episode cuz feels like Tanmay n gang cant relate to the humour at all XD. Complete episode mei gum-sum se baithe hai and cant even think what to say.,brought basso episode cuz feel like tanmay n gang cant relate humour xd complete episode mei gumsum se baithe hai cant even think say,Braghat Buso Episode Cuse Feel Like Tanmay Gang Chant Railte Humur Sad Complete Episode is seated from Gumsum,"[('Braghat', 'DET'), ('Buso', 'PROPN'), ('Episode', 'PROPN'), ('Cuse', 'PROPN'), ('Feel', 'PROPN'), ('Like', 'ADP'), ('Tanmay', 'PROPN'), ('Gang', 'PROPN'), ('Chant', 'PROPN'), ('Railte', 'PROPN'), ('Humur', 'PROPN'), ('Sad', 'PROPN'), ('Complete', 'PROPN'), ('Episode', 'PROPN'), ('is', 'AUX'), ('seated', 'VERB'), ('from', 'ADP'), ('Gumsum', 'PROPN')]",[],{},"['Buso', 'Episode', 'Tanmay', 'Gang', 'Chant', 'Railte', 'Humur', 'Sad', 'Complete']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Court room drama is not...real but  court corridor  drama is real,court room drama notreal court corridor drama real,Courtroom Drama Not Real Court Corridor Drama Real,"[('Courtroom', 'NOUN'), ('Drama', 'PROPN'), ('Not', 'PART'), ('Real', 'PROPN'), ('Court', 'PROPN'), ('Corridor', 'PROPN'), ('Drama', 'PROPN'), ('Real', 'PROPN')]",['courtroom'],{'Courtroom': 'Neutral'},"['Real', 'Court', 'Corridor', 'Drama']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,5:32 Sacret Games bro💀,sacret game bro,Sacred Game Bro,"[('Sacred', 'PROPN'), ('Game', 'PROPN'), ('Bro', 'NOUN')]",['bro'],{'Bro': 'Neutral'},"['Sacred', 'Game']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,8:21macchli bano -- law school & law firms are same,macchli bano law school law firm,Macchli Bano Law School Law Firm,"[('Macchli', 'PROPN'), ('Bano', 'PROPN'), ('Law', 'PROPN'), ('School', 'PROPN'), ('Law', 'PROPN'), ('Firm', 'NOUN')]",['firm'],{'Firm': 'Negative'},"['Macchli', 'Bano', 'Law', 'School', 'Law']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Spoiler,spoiler,spoiler,"[('spoiler', 'NOUN')]",['spoiler'],{'spoiler': 'Neutral'},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Netflix has been using Vishal's same image on every thumbnail 😂,netflix using vishals image every thumbnail,Netflix Using Vishals Image Every Thumbnail,"[('Netflix', 'PROPN'), ('Using', 'PROPN'), ('Vishals', 'PROPN'), ('Image', 'PROPN'), ('Every', 'DET'), ('Thumbnail', 'PROPN')]",[],{},['Vishals']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Netflix m jo  member hai wo bhi Netflix ka subscription lete hai kya ???,netflix jo member hai wo bhi netflix ka subscription lete hai kya,Does Netflix also take subscription of Netflix,"[('Does', 'AUX'), ('Netflix', 'PROPN'), ('also', 'ADV'), ('take', 'VERB'), ('subscription', 'NOUN'), ('of', 'ADP'), ('Netflix', 'PROPN')]",['subscription'],{'subscription': 'Neutral'},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,jaise hi koi naya profession aata hai tvf wale pehle pahaunch jaate hn 😂,jaise hi koi naya profession aata hai tvf wale pehle pahaunch jaate hn,"As soon as a new profession comes, the people who reach the first time.","[('As', 'ADV'), ('soon', 'ADV'), ('as', 'SCONJ'), ('a', 'DET'), ('new', 'ADJ'), ('profession', 'NOUN'), ('comes', 'VERB'), (',', 'PUNCT'), ('the', 'DET'), ('people', 'NOUN'), ('who', 'PRON'), ('reach', 'VERB'), ('the', 'DET'), ('first', 'ADJ'), ('time', 'NOUN'), ('.', 'PUNCT')]","['profession', 'time']","{'profession': 'Neutral', 'people': 'Neutral', 'time': 'Neutral'}",[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Ravi Kishan Tashan male actor ka role facial expressions se toh bilkul justify ni krta..uski smile tashanmei kuch aur hi look extend krte h,ravi kishan tashan male actor ka role facial expression se toh bilkul justify ni krtauski smile tashanmei kuch aur hi look extend krte h,Ravi Kishan Tashan Mail actor's roll facial expression extends some more look in the smile of Justified.,"[('Ravi', 'NOUN'), ('Kishan', 'PROPN'), ('Tashan', 'PROPN'), ('Mail', 'PROPN'), ('actor', 'NOUN'), (""'s"", 'PART'), ('roll', 'NOUN'), ('facial', 'ADJ'), ('expression', 'NOUN'), ('extends', 'VERB'), ('some', 'DET'), ('more', 'ADJ'), ('look', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('smile', 'NOUN'), ('of', 'ADP'), ('Justified', 'PROPN'), ('.', 'PUNCT')]","['ravi', 'actor', 'roll', 'expression', 'look', 'smile']","{'Ravi': 'Neutral', 'actor': 'Neutral', 'roll': 'Neutral', 'expression': 'Neutral', 'look': 'Neutral', 'smile': 'Positive'}","['Kishan', 'Tashan', 'Mail']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"Tanmay, Samay have common  ""May"" Netflix love may month",tanmay samay common may netflix love may month,Tanmay Samay Common May Netflix Love May Month,"[('Tanmay', 'PROPN'), ('Samay', 'PROPN'), ('Common', 'PROPN'), ('May', 'PROPN'), ('Netflix', 'PROPN'), ('Love', 'PROPN'), ('May', 'PROPN'), ('Month', 'PROPN')]",[],{},"['Tanmay', 'Samay', 'Common', 'May', 'Netflix', 'May']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,"7:42 nidhi razdan , harvard University 😂😂😂 kis kis ko reference pta hai",nidhi razdan harvard university ki ki ko reference pta hai,Nidhi Razdan Harvard University Know Refrains,"[('Nidhi', 'PROPN'), ('Razdan', 'PROPN'), ('Harvard', 'PROPN'), ('University', 'PROPN'), ('Know', 'PROPN'), ('Refrains', 'PROPN')]",[],{},"['Razdan', 'Harvard', 'Know']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Why didn't you invite mojorojo? Not fair.,didnt invite mojorojo fair,Didn’t Invite Mojorojo Fair,"[('Did', 'AUX'), ('n’t', 'PRON'), ('Invite', 'PROPN'), ('Mojorojo', 'PROPN'), ('Fair', 'PROPN')]",[],{},['Mojorojo']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Great show🎉,great show,great show,"[('great', 'ADJ'), ('show', 'NOUN')]",['show'],{'show': 'Neutral'},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,I AM SORRY BUT THERE''S NO OG GANG WITHOUT ROHAN JOSHI!!,sorry there og gang without rohan joshi,sory there og Gang without rohan joshi,"[('sory', 'ADV'), ('there', 'ADV'), ('og', 'ADP'), ('Gang', 'PROPN'), ('without', 'ADP'), ('rohan', 'PROPN'), ('joshi', 'PROPN')]",[],{},['rohan']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Udta panjab,udta panjab,Flying Punjab,"[('Flying', 'PROPN'), ('Punjab', 'PROPN')]",[],{},['Flying']
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,Singh is king me Dass sad singh hta ha !,singh king das sad singh hta ha,Singh King Dus Singh Singh Hatai Ha,"[('Singh', 'PROPN'), ('King', 'PROPN'), ('Dus', 'PROPN'), ('Singh', 'PROPN'), ('Singh', 'PROPN'), ('Hatai', 'PROPN'), ('Ha', 'PROPN')]",[],{},"['Singh', 'King', 'Dus', 'Singh', 'Singh', 'Hatai']"
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,KraY,kray,kray,"[('kray', 'PROPN')]",[],{},[]
@TanmayBhatYT & The OG Gang REACT To MAAMLA LEGAL HAI! 😂 | Netflix India,its only me or others also feel like ravi kishan is acting  like salman khan,others also feel like ravi kishan acting like salman khan,others also feel like Ravi kishan acting like salman khan,"[('others', 'NOUN'), ('also', 'ADV'), ('feel', 'VERB'), ('like', 'SCONJ'), ('Ravi', 'NOUN'), ('kishan', 'VERB'), ('acting', 'VERB'), ('like', 'ADP'), ('salman', 'PROPN'), ('khan', 'PROPN')]",['ravi'],"{'others': 'Neutral', 'Ravi': 'Neutral'}",['salman']
